Name, Height (Inches), Height(Feet-Inches), Weight,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Brandon Davies,82, 6-10,240,116,PF,23,TOT,27,6,15.7,2.0,5.1,.401,0.3,1.3,.235,1.7,3.8,.456,.431,0.9,1.4,.649,1.4,1.7,3.1,1.1,0.7,0.3,1.1,2.2,5.3
Brandon Jennings,73, 6-1,169,240,PG,25,DET,41,41,28.6,5.3,13.2,.401,1.9,5.1,.360,3.5,8.1,.428,.471,2.9,3.5,.839,0.5,2.0,2.5,6.6,1.1,0.1,2.2,1.6,15.4
Brandon Knight,75, 6-3,189,265,PG-SG,23,TOT,63,61,32.3,6.0,14.1,.422,2.0,5.1,.389,4.0,9.0,.441,.493,3.1,3.5,.874,0.4,3.4,3.9,5.2,1.4,0.2,3.0,1.8,17.0
Brandon Rush,78, 6-6,210,396,SG,29,GSW,33,0,8.2,0.3,1.6,.204,0.1,0.8,.111,0.2,0.8,.296,.231,0.2,0.3,.455,0.1,1.1,1.2,0.4,0.2,0.4,0.3,0.8,0.9
Brian Roberts,73, 6-1,180,387,PG,29,CHO,72,10,18.5,2.4,6.3,.389,0.9,2.7,.321,1.6,3.6,.440,.458,0.9,1.0,.892,0.2,1.3,1.5,2.3,0.5,0.1,0.8,1.0,6.7
Brook Lopez,84, 7-0,260,286,C,26,BRK,72,44,29.2,7.0,13.7,.513,0.0,0.1,.100,7.0,13.6,.517,.513,3.1,3.8,.814,3.0,4.5,7.4,0.7,0.6,1.8,1.4,2.9,17.2
C.J. Miles,78, 6-6,210,317,SG,27,IND,70,40,26.3,4.7,11.8,.398,2.2,6.4,.345,2.5,5.4,.459,.491,1.9,2.3,.807,0.3,2.8,3.1,1.1,0.9,0.4,1.0,1.9,13.5
C.J. Watson,74, 6-2,180,465,PG,30,IND,57,21,24.9,3.2,7.3,.434,1.2,3.1,.400,1.9,4.2,.459,.518,2.4,2.9,.826,0.3,2.5,2.9,3.6,1.0,0.2,1.8,1.9,10.0
Carmelo Anthony,80, 6-8,230,19,SF,30,NYK,40,40,35.7,9.0,20.2,.444,1.5,4.5,.341,7.4,15.7,.474,.482,4.7,5.9,.797,1.8,4.8,6.6,3.1,1.0,0.4,2.2,2.2,24.2
Caron Butler,79, 6-7,217,73,SF,34,DET,78,21,20.8,2.1,5.1,.407,1.1,2.8,.379,1.0,2.3,.441,.511,0.7,0.8,.902,0.3,2.2,2.5,1.0,0.6,0.1,0.6,1.5,5.9
Chandler Parsons,81, 6-9,200,359,SF,26,DAL,66,66,33.1,5.8,12.6,.462,2.0,5.3,.380,3.8,7.3,.521,.542,2.1,2.9,.720,1.0,3.9,4.9,2.4,1.0,0.3,1.5,2.1,15.7
Channing Frye,83, 6-11,248,161,PF,31,ORL,75,51,24.9,2.5,6.5,.392,1.8,4.6,.393,0.7,1.9,.390,.532,0.4,0.5,.886,0.4,3.5,3.9,1.3,0.6,0.5,1.0,2.5,7.3
Charlie Villanueva,83, 6-11,240,455,PF,30,DAL,64,1,10.6,2.3,5.7,.414,1.3,3.5,.376,1.0,2.2,.475,.529,0.3,0.5,.571,0.5,1.9,2.3,0.3,0.2,0.3,0.4,1.0,6.3
Chase Budinger,79, 6-7,218,69,SF,26,MIN,67,4,19.2,2.5,5.8,.433,0.8,2.1,.364,1.7,3.7,.474,.500,1.0,1.2,.827,0.5,2.5,3.0,1.0,0.7,0.1,0.7,1.1,6.8
Chris Andersen,82, 6-10,230,14,C,36,MIA,60,20,18.9,2.0,3.5,.580,0.1,0.2,.308,1.9,3.2,.598,.589,1.3,1.9,.667,1.3,3.7,5.0,0.7,0.4,1.0,0.7,1.5,5.3
Chris Bosh,82, 6-10,228,59,C,30,MIA,44,44,35.4,7.8,16.9,.460,1.4,3.8,.375,6.4,13.1,.485,.503,4.1,5.3,.772,1.0,6.0,7.0,2.2,0.9,0.6,2.2,1.6,21.1
Chris Copeland,81, 6-9,235,102,SF,30,IND,50,12,16.6,2.2,6.2,.361,1.0,3.3,.311,1.2,2.9,.420,.445,0.7,0.9,.733,0.5,1.8,2.2,1.0,0.2,0.2,1.2,1.6,6.2
Chris Douglas-Roberts,79, 6-7,200,131,SG,28,LAC,12,0,8.6,0.4,1.8,.238,0.1,0.6,.143,0.3,1.2,.286,.262,0.7,0.7,1.000,0.1,0.9,1.0,0.3,0.1,0.0,0.0,1.2,1.6
Chris Johnson,78, 6-6,201,244,SF,24,TOT,29,2,18.1,2.1,5.3,.403,1.0,3.3,.295,1.2,2.0,.576,.494,0.5,0.6,.875,0.3,1.6,1.9,0.5,0.9,0.2,0.5,1.5,5.7
Chris Johnson,83, 6-11,210,244,SF,24,PHI,9,2,20.8,2.1,6.7,.317,1.1,4.3,.256,1.0,2.3,.429,.400,0.7,0.9,.750,0.3,2.6,2.9,0.3,1.0,0.6,1.0,2.1,6.0
Chris Paul,72, 6-0,175,361,PG,29,LAC,82,82,34.8,6.9,14.3,.485,1.7,4.3,.398,5.2,10.0,.523,.545,3.5,3.9,.900,0.6,4.0,4.6,10.2,1.9,0.2,2.3,2.5,19.1
Cody Zeller,84, 7-0,240,491,C,22,CHO,62,45,24.0,2.8,6.0,.461,0.0,0.0,1.000,2.8,6.0,.460,.462,2.0,2.6,.774,1.6,4.3,5.8,1.6,0.5,0.8,1.0,2.5,7.6
Corey Brewer,81, 6-9,185,62,SF,28,TOT,80,17,26.1,4.3,10.1,.426,0.8,2.9,.268,3.5,7.1,.491,.465,2.1,2.8,.743,1.0,2.7,3.7,2.2,1.4,0.2,1.6,2.2,11.5
Cory Joseph,75, 6-3,185,256,PG,23,SAS,79,14,18.3,2.6,5.2,.504,0.2,0.6,.364,2.4,4.6,.520,.523,1.3,1.8,.734,0.6,1.9,2.4,2.4,0.6,0.2,0.8,1.3,6.8
Courtney Lee,77, 6-5,200,276,SG,29,MEM,77,74,30.6,3.7,8.4,.448,1.2,2.9,.402,2.6,5.4,.473,.518,1.4,1.7,.860,0.3,2.0,2.3,2.0,1.0,0.2,1.0,1.7,10.1
D.J. Augustin,72, 6-0,180,25,PG,27,TOT,82,14,24.0,3.1,7.9,.399,1.0,3.0,.337,2.1,4.9,.436,.463,2.2,2.5,.868,0.2,1.7,2.0,4.3,0.6,0.0,1.8,1.1,9.5
Dahntay Jones,78, 6-6,210,250,SF,34,LAC,33,0,3.7,0.2,0.6,.286,0.0,0.1,.000,0.2,0.5,.353,.286,0.3,0.3,.818,0.0,0.3,0.3,0.1,0.1,0.0,0.0,0.7,0.6
Damian Lillard,75, 6-3,195,283,PG,24,POR,82,82,35.7,7.2,16.6,.434,2.4,7.0,.343,4.8,9.6,.500,.506,4.2,4.9,.864,0.6,4.0,4.6,6.2,1.2,0.3,2.7,2.0,21.0
Danilo Gallinari,82, 6-10,225,162,SF,26,DEN,59,27,24.2,3.9,9.6,.401,1.8,5.1,.355,2.1,4.5,.453,.496,2.9,3.2,.895,0.5,3.2,3.7,1.4,0.8,0.3,1.0,1.6,12.4
Danny Granger,80, 6-8,225,181,SF,31,MIA,30,6,20.4,2.2,5.4,.401,1.0,2.8,.357,1.2,2.6,.449,.494,0.9,1.2,.757,0.7,2.0,2.7,0.6,0.4,0.2,0.8,2.2,6.3
Danny Green,78, 6-6,210,183,SG,27,SAS,81,80,28.5,4.0,9.1,.436,2.4,5.6,.418,1.6,3.5,.466,.566,1.4,1.6,.874,0.7,3.6,4.2,2.0,1.2,1.1,1.1,2.0,11.7
Dante Cunningham,80, 6-8,230,109,PF,27,NOP,66,27,25.0,2.3,5.1,.457,0.0,0.2,.100,2.3,5.0,.468,.459,0.4,0.7,.617,1.1,2.8,3.9,0.8,0.7,0.6,0.5,1.5,5.2
Darius Morris,76, 6-4,190,330,PG,24,BRK,38,0,7.9,0.9,2.8,.340,0.2,0.9,.212,0.8,1.9,.397,.373,0.1,0.2,.444,0.2,0.5,0.7,1.3,0.2,0.0,0.6,0.5,2.2
Darrell Arthur,81, 6-9,225,23,PF,26,DEN,58,4,17.0,2.7,6.6,.404,0.4,1.9,.236,2.2,4.7,.471,.438,0.8,1.0,.780,0.9,2.0,2.9,1.0,0.8,0.4,0.8,2.5,6.6
Darren Collison,72, 6-0,160,98,PG,27,SAC,45,45,34.8,5.8,12.2,.473,1.3,3.6,.373,4.4,8.6,.514,.527,3.2,4.1,.788,0.4,2.8,3.2,5.6,1.5,0.3,2.5,2.1,16.1
David Lee,81, 6-9,249,277,PF,31,GSW,49,4,18.4,3.3,6.4,.511,0.0,0.0,.000,3.3,6.3,.514,.511,1.4,2.1,.654,1.7,3.6,5.2,1.7,0.6,0.5,1.0,1.7,7.9
David West,81, 6-9,240,469,PF,34,IND,66,66,28.7,4.9,10.4,.471,0.1,0.3,.200,4.8,10.1,.479,.474,1.8,2.4,.739,1.6,5.2,6.8,3.4,0.7,0.7,1.8,2.4,11.7
DeAndre Jordan,83, 6-11,250,254,C,26,LAC,82,82,34.4,4.6,6.5,.710,0.0,0.0,.250,4.6,6.5,.713,.711,2.3,5.7,.397,4.8,10.1,15.0,0.7,1.0,2.2,1.3,3.0,11.5
DeMar DeRozan,79, 6-7,220,125,SG,25,TOR,60,60,35.0,6.8,16.5,.413,0.4,1.5,.284,6.4,15.0,.426,.426,6.0,7.2,.832,0.7,3.9,4.6,3.5,1.2,0.2,2.3,2.0,20.1
DeMarcus Cousins,83, 6-11,270,104,C,24,SAC,59,59,34.1,8.4,18.1,.467,0.0,0.1,.250,8.4,17.9,.469,.468,7.2,9.2,.782,3.1,9.5,12.7,3.6,1.5,1.7,4.3,4.1,24.1
DeMarre Carroll,80, 6-8,212,84,SF,28,ATL,70,69,31.3,4.5,9.3,.487,1.7,4.3,.395,2.8,5.0,.567,.579,1.8,2.6,.702,1.4,3.9,5.3,1.7,1.3,0.2,1.1,2.2,12.6
Deron Williams,75, 6-3,210,475,PG,30,BRK,68,55,31.1,4.4,11.3,.387,1.3,3.5,.367,3.1,7.9,.395,.443,3.0,3.5,.834,0.4,3.1,3.5,6.6,0.9,0.3,2.3,2.3,13.0
Derrick Favors,82, 6-10,246,152,PF,23,UTA,74,74,30.8,6.5,12.4,.525,0.0,0.1,.167,6.5,12.3,.527,.526,3.0,4.5,.669,2.6,5.6,8.2,1.5,0.8,1.7,1.6,2.8,16.0
Derrick Rose,75, 6-3,190,392,PG,26,CHI,51,51,30.0,6.6,16.4,.405,1.5,5.3,.280,5.1,11.1,.465,.450,3.0,3.7,.813,0.7,2.5,3.2,4.9,0.7,0.3,3.2,1.2,17.7
Derrick Williams,80, 6-8,241,476,PF,23,SAC,74,6,19.8,2.9,6.6,.447,0.7,2.1,.314,2.3,4.4,.511,.498,1.8,2.6,.684,0.6,2.2,2.7,0.7,0.5,0.1,0.8,0.9,8.3
Devin Harris,75, 6-3,185,199,PG,31,DAL,76,3,22.2,2.9,6.9,.418,1.3,3.5,.357,1.6,3.4,.481,.509,1.7,2.1,.815,0.2,1.6,1.8,3.1,1.0,0.2,1.1,1.9,8.8
Dewayne Dedmon,84, 7-0,255,122,C,25,ORL,59,15,14.3,1.5,2.7,.562,0.0,0.0,.000,1.5,2.7,.565,.562,0.6,1.1,.531,2.0,3.0,5.0,0.2,0.3,0.8,0.9,2.4,3.7
Dion Waiters,76, 6-4,210,459,SG,23,TOT,80,23,27.6,4.7,11.8,.396,0.9,3.1,.297,3.8,8.8,.431,.435,1.5,2.2,.680,0.5,1.9,2.4,2.0,1.1,0.3,1.4,1.9,11.8
Dirk Nowitzki,84, 7-0,237,347,PF,36,DAL,77,77,29.6,6.3,13.8,.459,1.4,3.6,.380,5.0,10.2,.486,.508,3.3,3.8,.882,0.6,5.4,5.9,1.9,0.5,0.4,1.1,2.1,17.3
Donald Sloan,75, 6-3,205,411,PG,27,IND,53,21,20.9,2.7,6.7,.408,0.8,2.5,.313,2.0,4.2,.464,.466,1.1,1.5,.779,0.2,2.5,2.7,3.6,0.4,0.0,1.2,0.9,7.4
Donatas Motiejunas,84, 7-0,222,334,PF,24,HOU,71,62,28.7,5.0,9.9,.504,0.7,1.9,.368,4.3,8.0,.536,.539,1.4,2.3,.602,1.9,4.0,5.9,1.8,0.8,0.5,1.7,2.9,12.0
Dorell Wright,79, 6-7,200,486,SF,29,POR,48,2,12.3,1.5,4.0,.379,0.9,2.3,.380,0.6,1.7,.378,.487,0.7,0.9,.810,0.3,2.0,2.3,0.9,0.4,0.2,0.4,1.1,4.6
Draymond Green,79, 6-7,230,184,PF,24,GSW,79,79,31.5,4.3,9.7,.443,1.4,4.2,.337,2.9,5.5,.523,.516,1.7,2.5,.660,1.4,6.7,8.2,3.7,1.6,1.3,1.7,3.2,11.7
Drew Gooden,82, 6-10,230,174,PF,33,WAS,51,7,16.9,2.2,5.4,.399,0.5,1.2,.390,1.7,4.3,.401,.440,0.7,0.9,.773,1.4,3.0,4.4,1.0,0.4,0.2,0.5,1.8,5.4
Dwight Buycks,75, 6-3,190,76,PG,25,LAL,6,0,20.5,3.0,6.7,.450,1.2,1.8,.636,1.8,4.8,.379,.538,1.5,1.7,.900,0.3,1.7,2.0,2.3,0.5,0.0,2.0,0.5,8.7
Dwight Howard,83, 6-11,240,223,C,29,HOU,41,41,29.8,6.1,10.3,.593,0.0,0.0,.500,6.1,10.3,.594,.595,3.5,6.6,.528,2.7,7.8,10.5,1.2,0.7,1.3,2.8,3.3,15.8
Dwyane Wade,76, 6-4,212,458,SG,33,MIA,62,62,31.8,8.2,17.5,.470,0.5,1.6,.284,7.7,15.8,.489,.483,4.6,6.0,.768,0.9,2.6,3.5,4.8,1.2,0.3,3.4,1.7,21.5
E'Twaun Moore,76, 6-4,191,328,SG,25,CHI,56,0,9.0,1.1,2.5,.446,0.2,0.7,.342,0.9,1.8,.485,.493,0.2,0.4,.600,0.2,0.6,0.8,0.6,0.4,0.1,0.3,0.8,2.7
Earl Barron,84, 7-0,245,34,C,33,PHO,16,1,8.9,0.8,2.4,.308,0.1,0.3,.500,0.6,2.2,.286,.333,0.4,0.8,.500,0.9,0.9,1.8,0.3,0.3,0.1,0.3,1.6,2.0
Earl Clark,82, 6-10,225,93,PF,27,BRK,10,0,9.3,1.1,3.0,.367,0.4,1.4,.286,0.7,1.6,.438,.433,0.1,0.4,.250,0.1,2.2,2.3,0.3,0.3,0.4,0.6,1.2,2.7
Elliot Williams,77, 6-5,180,477,SG,25,TOT,13,0,9.2,1.1,2.8,.378,0.6,1.4,.444,0.5,1.5,.316,.486,0.1,0.3,.250,0.0,0.6,0.6,0.9,0.3,0.0,0.3,0.9,2.8
Elton Brand,80, 6-8,275,61,C,35,ATL,36,4,13.5,1.2,2.6,.442,0.0,0.0,.000,1.2,2.6,.447,.442,0.3,0.6,.522,0.8,2.0,2.8,0.6,0.5,0.7,0.5,1.5,2.7
Enes Kanter,83, 6-11,262,258,C,22,TOT,75,74,28.5,6.4,12.4,.519,0.2,0.6,.356,6.2,11.8,.528,.528,2.4,3.1,.782,3.7,5.3,8.9,0.7,0.5,0.4,1.9,2.5,15.5
Eric Bledsoe,73, 6-1,190,52,PG,25,PHO,81,81,34.6,5.8,12.9,.447,1.1,3.4,.324,4.7,9.6,.491,.489,4.4,5.4,.800,0.9,4.3,5.2,6.1,1.6,0.6,3.4,2.3,17.0
Eric Gordon,76, 6-4,215,179,SG,26,NOP,61,60,33.1,4.7,11.4,.411,2.3,5.2,.448,2.4,6.2,.380,.512,1.8,2.2,.805,0.5,2.1,2.6,3.8,0.8,0.2,2.0,2.4,13.4
Ersan Ilyasova,81, 6-9,235,229,PF,27,MIL,58,36,22.7,4.5,9.6,.472,1.3,3.3,.389,3.3,6.3,.515,.539,1.2,1.8,.645,1.4,3.4,4.8,1.0,0.6,0.3,0.8,2.6,11.5
Evan Fournier,78, 6-6,190,155,SG,22,ORL,58,32,28.6,4.4,9.9,.440,1.5,3.9,.378,2.9,6.0,.480,.514,1.8,2.5,.728,0.5,2.2,2.6,2.1,0.7,0.0,1.4,2.0,12.0
Evan Turner,79, 6-7,205,449,SG,26,BOS,82,57,27.6,3.9,9.1,.429,0.4,1.5,.277,3.5,7.6,.458,.451,1.3,1.7,.752,0.5,4.6,5.1,5.5,1.0,0.2,2.4,2.2,9.5
Francisco Garcia,79, 6-7,195,164,SF,33,HOU,14,0,14.3,1.2,4.5,.270,0.7,3.2,.222,0.5,1.3,.389,.349,0.1,0.3,.250,0.2,1.0,1.2,1.1,0.6,0.4,0.7,1.4,3.2
Garrett Temple,78, 6-6,190,434,SG,28,WAS,52,18,14.1,1.3,3.3,.400,0.6,1.7,.375,0.7,1.6,.427,.497,0.7,0.9,.729,0.5,1.3,1.7,1.1,0.8,0.2,0.7,1.5,3.9
Gary Neal,76, 6-4,210,340,SG,30,TOT,54,1,22.1,3.5,9.3,.374,0.9,3.0,.305,2.6,6.3,.407,.423,2.2,2.5,.867,0.3,2.1,2.4,1.9,0.4,0.0,1.2,1.6,10.1
George Hill,74, 6-2,180,214,PG,28,IND,43,36,29.5,5.9,12.4,.477,1.6,4.5,.358,4.3,8.0,.544,.541,2.6,3.3,.790,0.6,3.6,4.2,5.1,1.0,0.3,1.6,2.6,16.1
Gerald Green,80, 6-8,200,186,SG,29,PHO,74,4,19.5,4.4,10.5,.416,1.9,5.2,.354,2.5,5.3,.478,.504,1.3,1.6,.825,0.4,2.1,2.5,1.2,0.6,0.2,1.4,2.0,11.9
Gerald Henderson,74, 6-2,175,208,SG,27,CHO,80,72,28.9,4.6,10.6,.437,0.6,1.7,.331,4.1,8.9,.457,.463,2.3,2.7,.848,0.5,3.0,3.4,2.6,0.6,0.3,1.4,1.7,12.1
Gerald Wallace,79, 6-7,215,463,SF,32,BOS,32,0,8.9,0.4,1.1,.412,0.0,0.1,.333,0.4,1.0,.419,.426,0.2,0.5,.400,0.5,1.3,1.8,0.3,0.5,0.1,0.6,0.6,1.1
Giannis Antetokounmpo,81, 6-9,210,18,SG,20,MIL,81,71,31.4,4.7,9.6,.491,0.1,0.5,.159,4.6,9.1,.511,.496,3.2,4.3,.741,1.2,5.5,6.7,2.6,0.9,1.0,2.1,3.1,12.7
Glen Davis,81, 6-9,289,119,PF,29,LAC,74,0,12.2,1.6,3.4,.459,0.0,0.1,.000,1.6,3.4,.466,.459,0.8,1.3,.632,0.6,1.7,2.3,0.5,0.6,0.3,0.5,1.8,4.0
Glen Rice,78, 6-6,206,382,SG,24,WAS,5,0,8.6,0.6,3.0,.200,0.2,1.4,.143,0.4,1.6,.250,.233,0.8,1.2,.667,0.4,0.4,0.8,0.4,0.0,0.0,0.4,2.2,2.2
Glenn Robinson,79, 6-7,225,388,SG-SF,21,TOT,35,1,7.5,0.7,1.9,.388,0.1,0.5,.263,0.6,1.4,.438,.425,0.5,0.7,.667,0.4,0.7,1.1,0.3,0.2,0.0,0.3,0.4,2.1
Goran Dragic,76, 6-4,180,132,SG-PG,28,TOT,78,78,33.8,6.4,12.8,.501,1.2,3.3,.347,5.3,9.5,.555,.546,2.3,3.0,.774,1.0,2.5,3.5,4.5,1.0,0.2,2.2,2.5,16.3
Gordon Hayward,80, 6-8,207,206,SF,24,UTA,76,76,34.4,6.4,14.3,.445,1.6,4.3,.364,4.8,10.0,.481,.500,4.9,6.1,.812,0.7,4.2,4.9,4.1,1.4,0.4,2.7,1.7,19.3
Gorgui Dieng,83, 6-11,245,127,C,25,MIN,73,49,30.0,3.5,7.0,.506,0.0,0.1,.167,3.5,6.9,.510,.507,2.6,3.3,.783,3.1,5.3,8.3,2.0,1.0,1.7,1.7,2.6,9.7
Greivis Vasquez,78, 6-6,200,454,PG,28,TOR,82,29,24.3,3.6,8.8,.408,1.6,4.3,.379,2.0,4.6,.436,.500,0.6,0.8,.758,0.3,2.4,2.6,3.7,0.6,0.1,1.5,2.2,9.5
Harrison Barnes,80, 6-8,210,32,SF,22,GSW,82,82,28.3,3.9,8.0,.482,1.1,2.6,.405,2.8,5.4,.519,.548,1.3,1.8,.720,1.4,4.1,5.5,1.4,0.7,0.2,0.9,1.8,10.1
Hedo Turkoglu,82, 6-10,220,448,SF,35,LAC,62,2,11.4,1.3,3.0,.441,1.0,2.2,.432,0.4,0.8,.469,.601,0.1,0.2,.545,0.1,1.5,1.6,0.6,0.3,0.1,0.5,1.1,3.7
Henry Sims,82, 6-10,245,409,C,24,PHI,73,32,19.2,3.3,6.9,.474,0.1,0.3,.182,3.2,6.6,.488,.478,1.5,1.9,.774,1.7,3.3,4.9,1.1,0.5,0.4,1.4,1.8,8.0
Hollis Thompson,80, 6-8,206,440,SG,23,PHI,71,23,25.0,3.2,7.6,.413,1.6,4.0,.401,1.5,3.6,.426,.518,0.9,1.3,.708,0.7,2.0,2.8,1.2,0.8,0.4,0.9,2.0,8.8
Ian Clark,75, 6-3,175,94,SG,23,TOT,30,0,6.4,0.6,1.8,.345,0.3,1.0,.333,0.3,0.8,.360,.436,0.3,0.3,1.000,0.1,0.4,0.5,0.4,0.3,0.1,0.3,0.7,1.9
Iman Shumpert,77, 6-5,212,407,SG,24,TOT,62,25,24.9,3.1,7.6,.410,1.1,3.2,.342,2.0,4.4,.458,.481,0.7,1.0,.672,0.9,2.7,3.6,2.2,1.3,0.3,1.5,2.2,8.0
Isaiah Canaan,72, 6-0,188,82,PG,23,TOT,47,21,20.0,3.1,8.0,.386,1.9,5.2,.370,1.2,2.8,.417,.507,1.0,1.3,.817,0.4,1.5,1.9,2.1,0.6,0.1,1.3,1.8,9.2
Isaiah Thomas,69, 5-9,185,436,PG,25,TOT,67,1,25.8,5.0,11.9,.420,1.9,5.2,.373,3.1,6.7,.457,.501,4.5,5.2,.868,0.5,1.8,2.3,4.2,0.9,0.1,2.1,2.2,16.4
J.J. Hickson,81, 6-9,242,212,C,26,DEN,73,8,19.3,3.0,6.3,.475,0.0,0.0,.000,3.0,6.3,.477,.475,1.6,2.8,.577,2.1,4.1,6.2,0.8,0.5,0.5,1.3,1.9,7.6
J.J. Redick,76, 6-4,190,381,SG,30,LAC,78,78,30.9,5.7,12.0,.477,2.6,5.9,.437,3.2,6.2,.515,.583,2.3,2.6,.901,0.3,1.9,2.1,1.8,0.5,0.1,1.2,1.7,16.4
J.R. Smith,78, 6-6,220,415,SG,29,TOT,70,51,29.7,4.5,10.8,.417,2.3,6.1,.383,2.2,4.7,.462,.525,0.8,1.0,.750,0.4,2.7,3.1,2.8,1.2,0.3,1.4,2.3,12.1
Jae Crowder,79, 6-7,240,108,SF,24,TOT,82,17,20.1,2.8,6.6,.420,0.7,2.5,.293,2.0,4.1,.499,.476,1.3,1.7,.773,0.9,2.7,3.6,1.1,0.9,0.3,0.6,1.7,7.7
Jamal Crawford,78, 6-6,185,107,SG,34,LAC,64,4,26.6,5.2,13.1,.396,1.9,5.7,.327,3.3,7.4,.448,.467,3.5,3.9,.901,0.3,1.7,1.9,2.5,0.9,0.2,1.4,1.7,15.8
Jameer Nelson,72, 6-0,190,341,PG,32,TOT,63,29,22.3,3.3,8.0,.407,1.4,4.1,.345,1.8,3.9,.472,.495,0.4,0.6,.667,0.5,1.8,2.3,4.0,0.7,0.1,1.7,2.2,8.3
James Harden,77, 6-5,220,197,SG,25,HOU,81,81,36.8,8.0,18.1,.440,2.6,6.9,.375,5.4,11.3,.480,.511,8.8,10.2,.868,0.9,4.7,5.7,7.0,1.9,0.7,4.0,2.6,27.4
James Johnson,81, 6-9,245,245,PF,27,TOR,70,17,19.6,3.4,5.8,.589,0.2,0.7,.216,3.2,5.0,.643,.603,1.0,1.5,.657,0.9,2.8,3.7,1.4,0.8,1.0,1.1,2.2,7.9
James Jones,80, 6-8,225,251,SF,34,CLE,57,2,11.7,1.3,3.5,.368,1.1,3.1,.360,0.2,0.5,.423,.525,0.7,0.8,.848,0.2,0.9,1.1,0.4,0.2,0.1,0.2,1.2,4.4
Jannero Pargo,73, 6-1,175,356,PG,35,CHO,9,0,8.1,1.7,3.9,.429,1.0,2.4,.409,0.7,1.4,.462,.557,0.2,0.2,1.000,0.0,0.3,0.3,0.9,0.0,0.0,0.3,0.9,4.6
Jared Cunningham,76, 6-4,194,110,SG,23,LAC,19,0,4.7,0.6,1.7,.364,0.2,0.7,.308,0.4,1.1,.400,.424,0.4,0.7,.538,0.1,0.4,0.5,0.5,0.2,0.0,0.4,0.6,1.8
Jared Dudley,79, 6-7,225,136,SG,29,MIL,72,22,23.8,2.8,5.9,.468,1.0,2.7,.385,1.7,3.2,.537,.556,0.7,0.9,.716,0.6,2.4,3.1,1.8,1.0,0.2,0.9,1.6,7.2
Jared Sullinger,81, 6-9,280,429,PF,22,BOS,58,49,27.0,5.4,12.2,.439,0.9,3.2,.283,4.5,9.0,.494,.476,1.7,2.2,.744,2.5,5.1,7.6,2.3,0.8,0.7,1.3,2.6,13.3
Jarrett Jack,75, 6-3,202,232,PG,31,BRK,80,27,28.0,4.5,10.2,.439,0.5,1.8,.267,4.0,8.4,.477,.463,2.5,2.8,.881,0.2,2.8,3.1,4.7,0.9,0.2,2.4,1.8,12.0
Jason Richardson,78, 6-6,220,383,SG,34,PHI,19,15,21.9,3.3,9.4,.348,1.6,5.1,.323,1.6,4.3,.378,.435,0.9,1.2,.773,0.7,2.8,3.5,2.0,0.7,0.2,0.8,1.5,9.1
Jason Smith,84, 7-0,240,416,C,28,NYK,82,31,21.8,3.1,7.2,.434,0.2,0.5,.357,3.0,6.7,.440,.447,1.5,1.9,.830,1.2,2.8,4.0,1.7,0.4,0.5,1.3,2.5,8.0
Jason Terry,74, 6-2,176,435,SG,37,HOU,77,18,21.3,2.4,5.8,.422,1.6,4.2,.390,0.8,1.6,.504,.563,0.5,0.6,.813,0.2,1.4,1.6,1.9,0.9,0.2,1.0,1.5,7.0
Jason Thompson,83, 6-11,250,441,PF,28,SAC,81,63,24.6,2.5,5.3,.470,0.0,0.0,.000,2.5,5.3,.471,.470,1.1,1.8,.622,1.7,4.8,6.5,1.0,0.4,0.7,1.0,3.0,6.1
Jeff Green,81, 6-9,235,188,SF,28,TOT,78,70,31.5,5.3,12.4,.430,1.2,3.7,.332,4.1,8.7,.473,.480,3.1,3.7,.833,0.8,3.4,4.2,1.7,0.7,0.4,1.4,1.9,15.0
Jeff Teague,74, 6-2,180,431,PG,26,ATL,73,72,30.5,5.6,12.2,.460,1.0,2.8,.343,4.6,9.3,.496,.500,3.8,4.4,.862,0.4,2.1,2.5,7.0,1.7,0.4,2.8,1.9,15.9
Jeremy Evans,81, 6-9,196,145,SF,27,UTA,38,0,7.0,0.8,1.5,.552,0.1,0.1,.400,0.8,1.4,.566,.569,0.6,0.8,.828,0.7,1.2,1.9,0.3,0.3,0.3,0.1,0.8,2.4
Jeremy Lamb,77, 6-5,180,269,SG,22,OKC,47,8,13.5,2.2,5.3,.416,0.8,2.4,.342,1.4,3.0,.475,.492,1.0,1.2,.891,0.2,2.1,2.3,0.9,0.4,0.1,0.6,1.1,6.3
Jeremy Lin,75, 6-3,200,284,PG,26,LAL,74,30,25.8,3.7,8.8,.424,0.9,2.4,.369,2.9,6.5,.444,.473,2.9,3.6,.795,0.4,2.3,2.6,4.6,1.1,0.4,2.2,2.6,11.2
Jerryd Bayless,75, 6-3,200,38,PG,26,MIL,77,4,22.3,2.9,6.7,.426,0.5,1.6,.308,2.4,5.1,.462,.462,1.6,1.8,.883,0.3,2.5,2.7,3.0,0.8,0.2,1.7,2.1,7.8
Jimmer Fredette,74, 6-2,195,159,PG,25,NOP,50,0,10.2,1.3,3.3,.380,0.2,1.0,.188,1.1,2.4,.458,.407,0.9,0.9,.956,0.2,0.6,0.8,1.2,0.3,0.0,0.7,0.9,3.6
